UnitName,X,Y,Length (m),Width (m),ConfigFile,Label
unit_238,6.562500e-04,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_239,7.031250e-04,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_240,7.500000e-04,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_241,7.968750e-04,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_242,8.437500e-04,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_243,8.906250e-04,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_244,9.375000e-04,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_245,9.843750e-04,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_246,1.031250e-03,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_247,1.078125e-03,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_248,1.125000e-03,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_249,1.171875e-03,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_250,1.218750e-03,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_251,1.265625e-03,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_252,1.312500e-03,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_253,1.359375e-03,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_254,1.406250e-03,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_255,1.453125e-03,3.281250e-04,4.687500e-05,4.687500e-05,,Si
unit_256,0.000000e+00,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_257,4.687500e-05,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_258,9.375000e-05,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_259,1.406250e-04,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_260,1.875000e-04,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_261,2.343750e-04,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_262,2.812500e-04,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_263,3.281250e-04,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_264,3.750000e-04,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_265,4.218750e-04,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_266,4.687500e-04,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_267,5.156250e-04,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_268,5.625000e-04,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_269,6.093750e-04,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_270,6.562500e-04,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_271,7.031250e-04,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_272,7.500000e-04,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_273,7.968750e-04,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_274,8.437500e-04,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_275,8.906250e-04,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_276,9.375000e-04,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_277,9.843750e-04,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_278,1.031250e-03,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_279,1.078125e-03,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_280,1.125000e-03,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_281,1.171875e-03,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_282,1.218750e-03,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_283,1.265625e-03,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_284,1.312500e-03,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_285,1.359375e-03,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_286,1.406250e-03,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_287,1.453125e-03,3.750000e-04,4.687500e-05,4.687500e-05,,Si
unit_288,0.000000e+00,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_289,4.687500e-05,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_290,9.375000e-05,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_291,1.406250e-04,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_292,1.875000e-04,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_293,2.343750e-04,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_294,2.812500e-04,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_295,3.281250e-04,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_296,3.750000e-04,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_297,4.218750e-04,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_298,4.687500e-04,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_299,5.156250e-04,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_300,5.625000e-04,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_301,6.093750e-04,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_302,6.562500e-04,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_303,7.031250e-04,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_304,7.500000e-04,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_305,7.968750e-04,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_306,8.437500e-04,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_307,8.906250e-04,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_308,9.375000e-04,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_309,9.843750e-04,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_310,1.031250e-03,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_311,1.078125e-03,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_312,1.125000e-03,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_313,1.171875e-03,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_314,1.218750e-03,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_315,1.265625e-03,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_316,1.312500e-03,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_317,1.359375e-03,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_318,1.406250e-03,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_319,1.453125e-03,4.218750e-04,4.687500e-05,4.687500e-05,,Si
unit_320,0.000000e+00,4.687500e-04,4.687500e-05,4.687500e-05,,Si
unit_321,4.687500e-05,4.687500e-04,4.687500e-05,4.687500e-05,,Si
unit_322,9.375000e-05,4.687500e-04,4.687500e-05,4.687500e-05,,Si
unit_323,1.406250e-04,4.687500e-04,4.687500e-05,4.687500e-05,,Si
unit_324,1.875000e-04,4.687500e-04,4.687500e-05,4.687500e-05,,Si
unit_325,2.343750e-04,4.687500e-04,4.687500e-05,4.687500e-05,,Si
unit_326,2.812500e-04,4.687500e-04,4.687500e-05,4.687500e-05,,Si
unit_327,3.281250e-04,4.687500e-04,4.687500e-05,4.687500e-05,,Si
unit_328,3.750000e-04,4.687500e-04,4.687500e-05,4.687500e-05,,Si
unit_329,4.218750e-04,4.687500e-04,4.687500e-05,4.687500e-05,,Si
unit_330,4.687500e-04,4.687500e-04,4.687500e-05,4.687500e-05,,Si
unit_331,5.156250e-04,4.687500e-04,4.687500e-05,4.687500e-05,,Si
unit_332,5.625000e-04,4.687500e-04,4.687500e-05,4.687500e-05,,Si
unit_333,6.093750e-04,4.687500e-04,4.687500e-05,4.687500e-05,,Si
unit_334,6.562500e-04,4.687500e-04,4.687500e-05,4.687500e-05,,Si
unit_335,7.031250e-04,4.687500e-04,4.687500e-05,4.687500e-05,,Si
unit_336,7.500000e-04,4.687500e-04,4.687500e-05,4.687500e-05,,Si
