test	suite	result	exit_status	wall_seconds	cycles	log	campaign
rv64ui-v-slliw	isa	PASS	0	44.245		campaigns/cpu-isa/rv64ui-v-slliw/simulation.log	cpu-isa
rv64ui-v-ma_data	isa	WALL_TIMEOUT	0	600.22		campaigns/cpu-isa/rv64ui-v-ma_data/simulation.log	cpu-isa
rv64ui-v-sllw	isa	PASS	0	71.503		campaigns/cpu-isa/rv64ui-v-sllw/simulation.log	cpu-isa
rv64ui-v-slt	isa	PASS	0	42.769		campaigns/cpu-isa/rv64ui-v-slt/simulation.log	cpu-isa
rv64ui-v-slti	isa	PASS	0	40.307		campaigns/cpu-isa/rv64ui-v-slti/simulation.log	cpu-isa
rv64ui-v-sltiu	isa	PASS	0	41.308		campaigns/cpu-isa/rv64ui-v-sltiu/simulation.log	cpu-isa
rv64ui-v-sltu	isa	PASS	0	42.291		campaigns/cpu-isa/rv64ui-v-sltu/simulation.log	cpu-isa
rv64ui-v-sra	isa	PASS	0	68.172		campaigns/cpu-isa/rv64ui-v-sra/simulation.log	cpu-isa
rv64ui-v-srai	isa	PASS	0	38.591		campaigns/cpu-isa/rv64ui-v-srai/simulation.log	cpu-isa
rv64ui-v-sraiw	isa	PASS	0	35.92		campaigns/cpu-isa/rv64ui-v-sraiw/simulation.log	cpu-isa
rv64ui-v-sraw	isa	PASS	0	62.769		campaigns/cpu-isa/rv64ui-v-sraw/simulation.log	cpu-isa
rv64ui-v-srl	isa	PASS	0	57.533		campaigns/cpu-isa/rv64ui-v-srl/simulation.log	cpu-isa
rv64ui-v-srli	isa	PASS	0	31.276		campaigns/cpu-isa/rv64ui-v-srli/simulation.log	cpu-isa
rv64ui-v-srliw	isa	PASS	0	32.525		campaigns/cpu-isa/rv64ui-v-srliw/simulation.log	cpu-isa
rv64ui-v-srlw	isa	PASS	0	51.348		campaigns/cpu-isa/rv64ui-v-srlw/simulation.log	cpu-isa
rv64ui-v-sub	isa	PASS	0	35.32		campaigns/cpu-isa/rv64ui-v-sub/simulation.log	cpu-isa
rv64ui-v-subw	isa	PASS	0	32.652		campaigns/cpu-isa/rv64ui-v-subw/simulation.log	cpu-isa
rv64ui-v-sw	isa	PASS	0	53.724		campaigns/cpu-isa/rv64ui-v-sw/simulation.log	cpu-isa
rv64ui-v-xor	isa	PASS	0	56.186		campaigns/cpu-isa/rv64ui-v-xor/simulation.log	cpu-isa
rv64um-p-div	isa	PASS	0	4.946		campaigns/cpu-isa/rv64um-p-div/simulation.log	cpu-isa
rv64ui-v-xori	isa	PASS	0	31.695		campaigns/cpu-isa/rv64ui-v-xori/simulation.log	cpu-isa
rv64um-p-divu	isa	PASS	0	4.845		campaigns/cpu-isa/rv64um-p-divu/simulation.log	cpu-isa
rv64um-p-divuw	isa	PASS	0	4.796		campaigns/cpu-isa/rv64um-p-divuw/simulation.log	cpu-isa
rv64um-p-divw	isa	PASS	0	5.15		campaigns/cpu-isa/rv64um-p-divw/simulation.log	cpu-isa
rv64um-p-mul	isa	PASS	0	6.556		campaigns/cpu-isa/rv64um-p-mul/simulation.log	cpu-isa
rv64um-p-mulh	isa	PASS	0	6.051		campaigns/cpu-isa/rv64um-p-mulh/simulation.log	cpu-isa
