test	suite	result	exit_status	wall_seconds	cycles	log
rv64ui-p-jalr	isa	PASS	0	5.652		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-jalr/simulation.log
rv64ui-p-lb	isa	PASS	0	6.764		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-lb/simulation.log
rv64ui-p-lbu	isa	PASS	0	7.279		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-lbu/simulation.log
rv64ui-p-ld	isa	PASS	0	9.188		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-ld/simulation.log
rv64ui-p-lh	isa	PASS	0	6.362		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-lh/simulation.log
rv64ui-p-lhu	isa	PASS	0	6.262		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-lhu/simulation.log
rv64ui-p-lui	isa	PASS	0	4.901		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-lui/simulation.log
rv64ui-p-lw	isa	PASS	0	5.857		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-lw/simulation.log
rv64ui-p-lwu	isa	PASS	0	6.871		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-lwu/simulation.log
rv64ui-p-ma_data	isa	FAIL	255	4.66		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-ma_data/simulation.log
rv64ui-p-or	isa	PASS	0	7.923		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-or/simulation.log
rv64ui-p-ori	isa	PASS	0	6.367		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-ori/simulation.log
rv64ui-p-sb	isa	PASS	0	7.827		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-sb/simulation.log
rv64ui-p-sd	isa	PASS	0	10.393		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-sd/simulation.log
rv64ui-p-simple	isa	PASS	0	6.417		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-simple/simulation.log
rv64ui-p-sh	isa	PASS	0	10.501		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-sh/simulation.log
rv64ui-p-slli	isa	PASS	0	8.333		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-slli/simulation.log
rv64ui-p-sll	isa	PASS	0	10.446		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-sll/simulation.log
rv64ui-p-slliw	isa	PASS	0	6.914		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-slliw/simulation.log
rv64ui-p-sllw	isa	PASS	0	8.728		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-sllw/simulation.log
rv64ui-p-slt	isa	PASS	0	8.476		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-slt/simulation.log
rv64ui-p-slti	isa	PASS	0	6.161		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-slti/simulation.log
rv64ui-p-sltiu	isa	PASS	0	5.762		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-sltiu/simulation.log
rv64ui-p-sltu	isa	PASS	0	8.43		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-sltu/simulation.log
rv64ui-p-sra	isa	PASS	0	8.022		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-sra/simulation.log
rv64ui-p-srai	isa	PASS	0	6.011		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-srai/simulation.log
rv64ui-p-sraiw	isa	PASS	0	6.816		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-sraiw/simulation.log
rv64ui-p-sraw	isa	PASS	0	8.628		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-sraw/simulation.log
rv64ui-p-srl	isa	PASS	0	8.535		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-srl/simulation.log
rv64ui-p-srli	isa	PASS	0	6.462		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-srli/simulation.log
rv64ui-p-srliw	isa	PASS	0	6.507		${CAMPAIGN_ROOT}/cpu-isa/rv64ui-p-srliw/simulation.log
