UnitName,X,Y,Length (m),Width (m),ConfigFile,Label
unit_241,2.656250e-04,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_242,2.812500e-04,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_243,2.968750e-04,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_244,3.125000e-04,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_245,3.281250e-04,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_246,3.437500e-04,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_247,3.593750e-04,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_248,3.750000e-04,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_249,3.906250e-04,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_250,4.062500e-04,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_251,4.218750e-04,1.093750e-04,1.562500e-05,1.562500e-05,,Si
unit_252,4.375000e-04,1.093750e-04,1.562500e-05,1.562500e-05,,Si
